date	avg_temp	max_temp	min_temp	supply_mj	supply_m3
2013-08-21	28.1	33.3	23.3	81144453	
2013-08-22	28.1	33.3	24.8	83459406	
2013-08-23	26.8	29.5	25.3	82872825	
2013-08-24	23.5	26.1	21.8	70400071	
2013-08-25	26	31.9	22.1	52083021	
2013-08-26	26.2	32.4	22	76632634	
2013-08-27	27.4	32.7	22.3	81846462	
2013-08-28	27.4	33	22.6	82478454	
2013-08-29	27.9	33.7	23.6	82568209	
2013-08-30	26.3	29.8	24	84399109	
2013-08-31	25.1	30.2	21.7	68548337	
2013-09-01	24.3	29.2	21	52666624	
2013-09-02	24.4	30.3	20	76953873	
2013-09-03	22.1	24	20.4	82029426	
2013-09-04	22.7	28.8	18.2	81377894	
2013-09-05	21.5	25.2	17.5	80674094	
2013-09-06	19.9	21.5	18.5	82055310	
2013-09-07	21	24.8	18.8	73714560	1711240
2013-09-08	23.6	30.1	17.9	55088001	1278833
2013-09-09	24	29.9	18.6	76302275	1771705
2013-09-10	25.3	30.3	20.3	80964785	1881102
2013-09-11	24.7	26.9	22.4	81162141	1886536
2013-09-12	22.9	24.5	21.6	82375991	1913897
2013-09-13	26.6	33	21.1	82114535	1907115
2013-09-14	23.4	26.5	21.1	73551908	1708950
2013-09-15	24.4	30.4	19	60230640	1400404
2013-09-16	22.9	29.3	17.6	78293707	1820020
2013-09-17	23.5	30.9	16.9	75349586	1752337
2013-09-18	23.6	31.6	16.8	49848067	1159024
2013-09-19	23.9	29.1	19.4	33924261	788753
2013-09-20	24.3	31.1	18.2	36502675	849291
2013-09-21	25.1	31.6	19.7	45264984	1052366
2013-09-22	23.5	29.6	20.5	46342492	1077231
2013-09-23	23.5	28.8	19.2	75276331	1747531
2013-09-24	23.7	29.5	18.3	82015826	1902306
2013-09-25	21.9	26.7	19.9	81465353	1892144
2013-09-26	20.1	25.5	16.4	82989367	1923474
2013-09-27	19.8	26.3	13.6	84838957	1962639
2013-09-28	20.2	23.8	17.4	76014823	1755633
2013-09-29	20.3	22.3	18.9	63638435	1470461
2013-09-30	20.3	22.3	20.1	87634328	2035201
2013-10-01	22.7	28.2	19.8	82154452	1902238
2013-10-02	21.1	26.2	17.8	82479533	1912638
2013-10-03	18.7	24.1	14	79133344	1836978
2013-10-04	18.5	26.3	11.4	84826548	1966006
2013-10-05	20	25.6	14.1	77814028	1801146
2013-10-06	21.1	23.4	18.9	62623957	1447270
2013-10-07	23.6	27.3	21.2	80340555	1856639
2013-10-08	21.7	23.6	19.7	87793557	2030418
2013-10-09	21.3	24.7	18.9	82449810	1911473
2013-10-10	20.2	23.6	18.1	86398014	2005388
2013-10-11	20.4	26.4	15.1	86416996	2007404
2013-10-12	17.2	22.9	13.4	81486715	1892861
2013-10-13	17.7	25.3	10.9	66815061	1552771
2013-10-14	18.8	26.7	12.6	86199880	1999446
2013-10-15	16.7	24.1	12.2	95297664	2207313
2013-10-16	12.7	17.5	9	101905943	2351426
2013-10-17	12.6	18.8	6.8	108407742	2496693
2013-10-18	14.7	21.2	8.5	107437542	2475832
2013-10-19	15.7	21.2	10	98805920	2277240
2013-10-20	18.2	24.7	13.4	75253741	1737742
2013-10-21	16.3	22.4	11.5	96188465	2226147
2013-10-22	16.2	21.1	12.1	103229032	2391076
2013-10-23	16.9	22.7	12.3	103482009	2407132
2013-10-24	16.9	22.6	11.5	105108718	2451776
2013-10-25	13.3	19.3	9.5	110888830	2582507
2013-10-26	12.7	18.5	7.4	106411474	2478801
2013-10-27	12.2	19.3	6.6	93698137	2177180
2013-10-28	12.2	19.5	6	115146861	2670819
2013-10-29	13.6	20.6	7.2	121256679	2806604
2013-10-30	14.5	20.5	9.9	118516410	2742583
2013-10-31	14	21.3	9.2	130941756	3027208
2013-11-01	15.8	22.8	10.4	114603563	2645648
2013-11-02	16.1	22.2	10.8	103569186	2389693
2013-11-03	16	19.2	13.2	86145014	1990766
2013-11-04	14.1	19.2	9.7	112403904	2599209
2013-11-05	13.1	20.2	7.7	119155931	2762875
2013-11-06	13.1	19.3	7.6	125235147	2907467
2013-11-07	14.5	20.9	10.8	122706603	2853860
2013-11-08	11.8	17.1	7.6	126652366	2947797
2013-11-09	12.3	16	9.1	119455802	2774170
2013-11-10	11.2	15.4	5.4	107755710	2500366
2013-11-11	6.4	10.4	3.9	144076194	3334033
2013-11-12	6.8	12.1	2.7	157111147	3622884
2013-11-13	6.8	13.6	0.8	157569701	3631331
2013-11-14	7.8	13.2	2.8	160019805	3681769
2013-11-15	9.7	16.5	5.4	153069956	3523152
2013-11-16	8.8	16	3.1	144595183	3344407
2013-11-17	8.6	14	5.4	134273862	3118134
2013-11-18	5.3	8.8	3.4	170226890	3958373
2013-11-19	5.6	8.8	3.4	181988186	4234861
2013-11-20	5.3	9.4	2	183984182	4263129
2013-11-21	6	10.8	1.6	182314635	4201900
2013-11-22	7.4	12.4	3.4	176880966	4079641
2013-11-23	7.9	14.4	2.4	163287435	3787346
2013-11-24	9.6	14.1	3.2	143488300	3329040
2013-11-25	9.5	13	5.4	167233503	3868669
2013-11-26	5.9	10.3	2.4	179602177	4156669
2013-11-27	3	6	-0.8	192061025	4459052
2013-11-28	0.5	3.9	-2.4	207395845	4801863
2013-11-29	3.1	7.6	-1	203304894	4693961
2013-11-30	4.9	11.5	0.1	183420575	4229527
2013-12-01	6.1	12.7	0.5	162730584	3756022
2013-12-02	7	11.5	2.2	182224603	4207487
2013-12-03	7.5	12.3	3.9	183323348	4234794
2013-12-04	6.5	13.3	1.5	184096742	4256401
2013-12-05	6.8	12.3	1.3	186571145	4322298
2013-12-06	6.9	10.7	4	183810219	4252900
2013-12-07	5.8	11.8	1.1	175302866	4054015
2013-12-08	5.4	12.4	-0.3	159098168	3681876
2013-12-09	5.9	9.4	2.5	185726491	4304048
2013-12-10	4.5	7.7	2.5	194327759	4506311
2013-12-11	2.3	5.3	0.2	210119470	4865707
2013-12-12	3.7	7.8	-1.3	211980568	4904737
2013-12-13	-0.6	4.5	-2.7	220370754	5099641
2013-12-14	1.4	7	-4.1	209993305	4863063
2013-12-15	1.1	4.4	-1.4	194817182	4529035
2013-12-16	0.5	4.1	-4.2	225161767	5230742
2013-12-17	4.2	7.9	-0.4	219012830	5086031
2013-12-18	6.4	8.5	4.5	208760337	4853830
2013-12-19	2	5.6	-0.6	219772138	5101636
2013-12-20	0.5	5	-3.7	225016932	5209596
2013-12-21	2.3	7.3	-1.2	208171786	4813935
2013-12-22	1.6	7.1	-1.6	191268335	4427772
2013-12-23	2.3	7.3	-2	212287938	4911675
2013-12-24	2.4	9.3	-2.7	214448998	4955329
2013-12-25	4	10	-2.2	201680880	4662554
2013-12-26	4.1	5.7	1.9	211596093	4897541
2013-12-27	-0.8	2.8	-3.2	230185480	5317143
2013-12-28	-1.6	2.9	-4.7	224312285	5178119
2013-12-29	0.2	4.5	-4	204293312	4720012
2013-12-30	3.6	8.7	-1.1	213550834	4933950
2013-12-31	5	10.4	-1.6	202101721	4673147
2014-01-01	6.5	10.4	2.8	167715604	3878830
2014-01-02	5.5	10.7	1.7	189174519	4375252
2014-01-03	3.8	10.8	-1.7	200442011	4638055
2014-01-04	4.3	10	-0.8	187842661	4352035
2014-01-05	4.3	8.8	1.5	171169868	3964085
2014-01-06	2.8	9	-1.5	200295546	4636190
2014-01-07	3.4	8.7	-3	211285543	4889937
2014-01-08	4.3	6.4	0.9	211369720	4893266
2014-01-09	-2.7	0.9	-5.4	238527185	5522065
2014-01-10	-1.5	3.7	-6.2	241798634	5603086
2014-01-11	1.3	5.8	-2.9	218185021	5049378
2014-01-12	1.6	6.8	-2.2	201505122	4665162
2014-01-13	-1.5	3.2	-5.2	236951021	5491405
2014-01-14	-0.2	5.1	-4.5	239727924	5557499
2014-01-15	0.7	5.8	-3.2	235530224	5454927
2014-01-16	2.2	7.1	-2.7	229292952	5312735
2014-01-17	2.6	7.7	-1.6	223556868	5185201
2014-01-18	1.5	5.3	-1.6	218701634	5062600
2014-01-19	0.4	6.3	-5.4	201408399	4659208
2014-01-20	2.8	7.6	0.3	219622806	5082156
2014-01-21	-1.1	1.7	-3.4	233500995	5402520
2014-01-22	-0.4	5.2	-4.7	235776401	5447417
2014-01-23	1.5	9.1	-4.9	226630604	5232595
2014-01-24	4.1	12.1	-3.4	217134018	5016349
2014-01-25	6.3	10.2	2.9	196555759	4546629
2014-01-26	3.3	8.2	-0.4	179087553	4139464
2014-01-27	3.4	11.4	-3.7	205366121	4754614
2014-01-28	5.8	12.5	1.5	201922254	4686247
2014-01-29	5.4	13	-3.5	198153851	4602070
2014-01-30	9.7	15.3	5.7	161253491	3748912
2014-01-31	6.6	13.8	0.5	134404624	3135169
2014-02-01	9.9	19.3	2.7	132486806	3083718
2014-02-02	12.5	20.4	7.5	125667502	2921491
2014-02-03	5.4	11.1	-3.1	168588733	3911064
2014-02-04	-3.6	1.2	-7	221081044	5135147
2014-02-05	-2.4	2.6	-6.1	231387237	5369688
2014-02-06	0.2	3.4	-3.5	228661081	5305998
2014-02-07	2.8	6	-0.8	222633117	5169274
2014-02-08	4	7.1	2.4	202276718	4705228
2014-02-09	2.8	6	1.5	185955007	4323906
2014-02-10	2	4.5	-0.1	216970537	5044562
2014-02-11	0.8	4.8	-3	226055381	5248767
2014-02-12	1.8	6.7	-2.8	224312771	5219501
2014-02-13	2.2	4.5	-1	226718446	5265253
2014-02-14	3.1	4.5	2.1	223283712	5184435
2014-02-15	4.2	10.2	-0.8	196980215	4573470
2014-02-16	4.8	12.7	-2	176163486	4090563
2014-02-17	5.5	9.6	3.2	200964443	4665034
2014-02-18	3.3	6.7	0.9	212621063	4944149
2014-02-19	2.5	6.2	0.2	213333088	4971130
2014-02-20	4	10.6	-2	204887474	4772321
2014-02-21	4	10	-0.7	201118342	4682399
2014-02-22	4.8	11.4	-1.8	185019264	4310968
2014-02-23	5.7	12.5	-0.6	164107366	3819622
2014-02-24	7.2	14	0.6	183343009	4267854
2014-02-25	9.1	15.6	2.2	179645654	4182278
2014-02-26	7.3	10.4	4.2	185293581	4315271
2014-02-27	11.7	18.2	7.9	164593499	3836734
2014-02-28	9.4	11.5	7.2	169014351	3932379
2014-03-01	9.3	11.6	7.7	154744981	3601069
2014-03-02	8	12.6	4.4	142043638	3305103
2014-03-03	6.2	12.8	0.1	170849417	3974629
2014-03-04	6.9	11.4	0.4	180784421	4211306
2014-03-05	5.5	10.1	1.6	188374162	4393607
2014-03-06	3.5	8.2	-0.9	196548351	4582695
2014-03-07	3.1	7.6	-1.1	199769398	4657342
2014-03-08	4.9	9.9	0.3	182696498	4263341
2014-03-09	4.4	8.8	1.1	169508621	3961649
2014-03-10	4.8	11.3	-0.9	191364574	4479041
2014-03-11	8.1	16.9	-0.3	185242898	4334005
2014-03-12	7	8.7	4.3	189187732	4423818
2014-03-13	4.5	7.3	2.3	194650908	4547850
2014-03-14	5	9.1	0.9	190899769	4454416
2014-03-15	8.6	16.4	0.1	171927883	4012665
2014-03-16	12.8	20.9	6.6	138029534	3223474
2014-03-17	14	22	5.4	148687407	3470271
2014-03-18	16	23.1	9.5	139694127	3265054
2014-03-19	10.4	14	8.7	148328911	3474259
2014-03-20	7.4	12.9	3.6	159053881	3725506
2014-03-21	6	10.6	2.4	165732329	3882653
2014-03-22	9.8	18	0.5	149860583	3509492
2014-03-23	13.4	20.9	4.9	125342792	2937102
2014-03-24	13.8	20.6	5.6	140073897	3281447
2014-03-25	15.3	19.6	12.6	139268681	3260063
2014-03-26	14.7	18.4	12.1	134085316	3133999
2014-03-27	16.4	24.3	10.6	126312486	2951638
2014-03-28	17.8	26.4	9.6	119526662	2781449
2014-03-29	15.5	17.4	13.5	113230434	2632696
2014-03-30	14.4	20.1	10.7	98448214	2296765
2014-03-31	14.2	21.5	7.7	116016845	2703348
2014-04-01	16.4	24.4	8.9	116518483	2702047
2014-04-02	17.3	25.5	9.6	113520854	2627484
2014-04-03	14.3	21.1	7.5	118924021	2758907
2014-04-04	9.2	14.2	4.7	131502614	3054729
2014-04-05	9	15.5	4.6	129813742	3023068
2014-04-06	10.2	15.9	4.8	115436771	2687222
2014-04-07	14.4	22.6	6.9	127529018	2966533
2014-04-08	16.1	22.8	9.7	124724419	2904747
2014-04-09	17.5	25.3	8	121295600	2822164
2014-04-10	14.8	21.3	10.4	122982755	2863933
2014-04-11	12.5	16.3	9.2	130151761	3028970
2014-04-12	12.5	16	9.8	121646649	2830038
2014-04-13	13.9	20.1	9.5	103177301	2402131
2014-04-14	15.7	25.4	5.6	117835969	2741087
2014-04-15	19.6	27.7	10.7	114934155	2676086
2014-04-16	20.8	27	16.4	106968105	2495280
2014-04-17	16.7	24.2	12	112375179	2619033
2014-04-18	13.1	16	11.2	116857069	2723475
2014-04-19	12.5	16.8	10.3	113624077	2647383
2014-04-20	15.4	21.7	10.3	92870541	2164368
2014-04-21	17.6	24.7	11.1	104121392	2422617
2014-04-22	17	23.7	11.9	108146126	2516880
2014-04-23	18.3	26.1	9.6	105770176	2458595
2014-04-24	19.1	27.1	11	103130341	2391789
2014-04-25	20.3	27.9	11.9	99468362	2303353
2014-04-26	19.3	25.2	12.3	90706249	2100397
2014-04-27	17.5	21.1	13.7	78549830	1823868
2014-04-28	14.2	15.3	12.9	107021003	2483898
2014-04-29	14.7	15.5	13.9	115091601	2672458
2014-04-30	15.1	19.7	13.4	110974476	2579207
2014-05-01	19.4	26.1	13.5	96620286	2245065
2014-05-02	21	28.8	13	95464189	2218180
2014-05-03	17.2	23.3	11.8	88434645	2058781
2014-05-04	15.4	21.6	10	71702805	1670006
2014-05-05	13.8	19.1	8.9	87971666	2051598
2014-05-06	15.3	21.4	8.5	95380738	2227770
2014-05-07	17.3	25.5	9	102364044	2389977
2014-05-08	18.9	25.3	14.6	102267617	2384450
2014-05-09	17.9	25.9	12.4	103133591	2404211
2014-05-10	17.9	25.4	10.2	90316998	2108039
2014-05-11	19.7	27	12.3	72281841	1688471
2014-05-12	21.1	25.7	16.8	90045769	2100262
2014-05-13	23.7	30.7	14.8	92852505	2165784
2014-05-14	20.2	23.2	17	91424747	2133135
2014-05-15	21.4	26.9	16.3	91317800	2113464
2014-05-16	22.7	28.9	15.9	89471972	2100732
2014-05-17	22.5	29.4	16.1	80404525	1874626
2014-05-18	22.4	30.4	14.8	64235752	1498113
2014-05-19	23.4	30.6	15.5	82958249	1928369
2014-05-20	20.9	23.9	18.8	90811785	2110839
2014-05-21	22.1	28.1	16.5	91131157	2113816
2014-05-22	21.8	31.3	15.9	88508138	2051600
2014-05-23	21	25.9	17	86556541	2008106
2014-05-24	24.5	32.2	18.1	77300081	1794328
2014-05-25	22.4	27.8	19	59809400	1387492
2014-05-26	22.7	28.5	18.9	80878799	1875647
2014-05-27	24.6	32.6	15.3	85762617	1989773
2014-05-28	22.3	30.8	18.6	85582065	1987564
2014-05-29	26.8	35.6	16.4	86079335	1999503
2014-05-30	28.6	36.3	20.2	84246059	1959909
2014-05-31	29.5	37.4	21	73893521	1722402
2014-06-01	27.6	32.8	23.1	55520197	1296256
